X,CH1,CH2,
Second,Volt,Volt,
7.12000e-05,5.20e+00,2.00e-01,
7.13000e-05,5.20e+00,4.00e-01,
7.14000e-05,5.00e+00,4.00e-01,
7.15000e-05,5.00e+00,2.80e+00,
7.16000e-05,4.80e+00,5.20e+00,
7.17000e-05,4.80e+00,5.40e+00,
7.18000e-05,4.80e+00,5.40e+00,
7.19000e-05,4.80e+00,5.40e+00,
7.20000e-05,4.80e+00,5.20e+00,
7.21000e-05,4.80e+00,5.20e+00,
7.22000e-05,4.60e+00,5.20e+00,
7.23000e-05,4.80e+00,5.20e+00,
7.24000e-05,4.80e+00,5.20e+00,
7.25000e-05,4.80e+00,5.20e+00,
7.26000e-05,4.60e+00,5.00e+00,
7.27000e-05,4.80e+00,5.00e+00,
7.28000e-05,4.80e+00,5.00e+00,
7.29000e-05,4.80e+00,5.00e+00,
7.30000e-05,4.80e+00,5.00e+00,
7.31000e-05,4.80e+00,2.60e+00,
7.32000e-05,4.80e+00,2.00e-01,
7.33000e-05,4.80e+00,2.00e-01,
7.34000e-05,4.80e+00,0.00e+00,
7.35000e-05,4.80e+00,2.00e-01,
7.36000e-05,4.80e+00,2.00e-01,
7.37000e-05,4.80e+00,4.00e-01,
7.38000e-05,4.80e+00,4.00e-01,
7.39000e-05,4.80e+00,4.00e-01,
7.40000e-05,4.80e+00,4.00e-01,
7.41000e-05,4.80e+00,4.00e-01,
7.42000e-05,4.60e+00,4.00e-01,
7.43000e-05,4.80e+00,4.00e-01,
7.44000e-05,4.80e+00,2.00e-01,
7.45000e-05,4.80e+00,2.00e-01,
7.46000e-05,4.80e+00,2.00e-01,
7.47000e-05,4.80e+00,4.00e-01,
7.48000e-05,4.80e+00,4.00e-01,
7.49000e-05,4.80e+00,4.00e-01,
7.50000e-05,4.60e+00,2.00e-01,
7.51000e-05,4.80e+00,2.00e-01,
7.52000e-05,5.00e+00,2.00e-01,
7.53000e-05,5.00e+00,2.00e-01,
7.54000e-05,5.00e+00,2.00e-01,
7.55000e-05,5.00e+00,2.00e-01,
7.56000e-05,4.80e+00,2.00e-01,
7.57000e-05,5.00e+00,4.00e-01,
7.58000e-05,5.00e+00,4.00e-01,
7.59000e-05,5.00e+00,4.00e-01,
7.60000e-05,4.80e+00,4.00e-01,
7.61000e-05,4.80e+00,4.00e-01,
7.62000e-05,4.80e+00,2.00e-01,
7.63000e-05,4.80e+00,4.00e-01,
7.64000e-05,4.80e+00,4.00e-01,
7.65000e-05,4.80e+00,4.00e-01,
7.66000e-05,4.80e+00,4.00e-01,
7.67000e-05,4.80e+00,4.00e-01,
7.68000e-05,4.80e+00,4.00e-01,
7.69000e-05,4.80e+00,4.00e-01,
7.70000e-05,4.80e+00,4.00e-01,
7.71000e-05,5.00e+00,4.00e-01,
7.72000e-05,5.00e+00,4.00e-01,
7.73000e-05,4.80e+00,2.80e+00,
7.74000e-05,4.60e+00,5.20e+00,
7.75000e-05,4.80e+00,5.20e+00,
7.76000e-05,4.80e+00,5.20e+00,
7.77000e-05,4.80e+00,5.20e+00,
7.78000e-05,4.80e+00,5.20e+00,
7.79000e-05,4.80e+00,5.20e+00,
7.80000e-05,4.80e+00,5.20e+00,
7.81000e-05,4.80e+00,5.20e+00,
7.82000e-05,4.80e+00,5.00e+00,
7.83000e-05,4.80e+00,5.00e+00,
7.84000e-05,4.80e+00,5.00e+00,
7.85000e-05,4.80e+00,5.20e+00,
7.86000e-05,4.80e+00,5.20e+00,
7.87000e-05,2.60e+00,5.20e+00,
7.88000e-05,2.00e-01,5.00e+00,
7.89000e-05,2.00e-01,2.60e+00,
7.90000e-05,2.00e-01,2.00e-01,
7.91000e-05,2.00e-01,4.00e-01,
7.92000e-05,2.00e-01,4.00e-01,
7.93000e-05,2.00e-01,2.00e-01,
7.94000e-05,2.00e-01,0.00e+00,
7.95000e-05,2.00e-01,2.00e-01,
7.96000e-05,2.00e-01,4.00e-01,
7.97000e-05,2.00e-01,2.00e-01,
7.98000e-05,2.00e-01,0.00e+00,
7.99000e-05,2.00e-01,0.00e+00,
8.00000e-05,2.00e-01,0.00e+00,
8.01000e-05,2.00e-01,2.00e-01,
8.02000e-05,2.00e-01,2.00e-01,
8.03000e-05,2.00e-01,2.00e-01,
8.04000e-05,2.00e-01,0.00e+00,
8.05000e-05,2.00e-01,2.00e-01,
8.06000e-05,2.00e-01,4.00e-01,
8.07000e-05,2.00e-01,4.00e-01,
8.08000e-05,2.00e-01,2.00e-01,
