X,CH1,CH2,
Second,Volt,Volt,
-1.41860e-03,-2.00e-01,4.88e+00,
-1.41660e-03,2.00e-01,5.28e+00,
-1.41460e-03,-2.00e-01,4.88e+00,
-1.41260e-03,4.80e+00,1.60e-01,
-1.41060e-03,-2.00e-01,-3.20e-01,
-1.40860e-03,0.00e+00,5.12e+00,
-1.40660e-03,0.00e+00,4.88e+00,
-1.40460e-03,-2.00e-01,5.04e+00,
-1.40260e-03,-2.00e-01,4.96e+00,
-1.40060e-03,0.00e+00,-4.00e-01,
-1.39860e-03,-2.00e-01,1.60e-01,
-1.39660e-03,0.00e+00,4.80e-01,
-1.39460e-03,-2.00e-01,2.40e-01,
-1.39260e-03,0.00e+00,5.12e+00,
-1.39060e-03,-4.00e-01,4.88e+00,
-1.38860e-03,2.00e-01,5.12e+00,
-1.38660e-03,-2.00e-01,4.96e+00,
-1.38460e-03,2.00e-01,7.99e-02,
-1.38260e-03,2.00e-01,-7.99e-02,
-1.38060e-03,-2.00e-01,5.12e+00,
-1.37860e-03,-2.00e-01,4.88e+00,
-1.37660e-03,2.00e-01,5.28e+00,
-1.37460e-03,-2.00e-01,4.96e+00,
-1.37260e-03,2.00e-01,1.60e-01,
-1.37060e-03,-2.00e-01,4.80e-01,
-1.36860e-03,2.00e-01,-1.60e-01,
-1.36660e-03,-2.00e-01,-7.99e-02,
-1.36460e-03,4.60e+00,5.04e+00,
-1.36260e-03,4.60e+00,5.44e+00,
-1.36060e-03,-2.00e-01,4.72e+00,
-1.35860e-03,-2.00e-01,4.96e+00,
-1.35660e-03,2.00e-01,1.60e-01,
-1.35460e-03,-2.00e-01,2.40e-01,
-1.35260e-03,2.00e-01,5.20e+00,
-1.35060e-03,-4.00e-01,4.88e+00,
-1.34860e-03,4.80e+00,5.20e+00,
-1.34660e-03,-2.00e-01,5.04e+00,
-1.34460e-03,2.00e-01,-7.99e-02,
-1.34260e-03,0.00e+00,1.60e-01,
-1.34060e-03,-2.00e-01,8.80e-01,
-1.33860e-03,-2.00e-01,2.40e-01,
-1.33660e-03,2.00e-01,5.12e+00,
-1.33460e-03,-2.00e-01,4.96e+00,
-1.33260e-03,2.00e-01,5.20e+00,
-1.33060e-03,-2.00e-01,4.96e+00,
-1.32860e-03,2.00e-01,-7.99e-02,
-1.32660e-03,-2.00e-01,-7.99e-02,
-1.32460e-03,2.00e-01,5.20e+00,
-1.32260e-03,-2.00e-01,4.96e+00,
-1.32060e-03,2.00e-01,5.04e+00,
-1.31860e-03,0.00e+00,4.96e+00,
-1.31660e-03,-2.00e-01,-7.99e-02,
-1.31460e-03,-2.00e-01,1.60e-01,
-1.31260e-03,2.00e-01,6.40e-01,
-1.31060e-03,-2.00e-01,2.40e-01,
-1.30860e-03,0.00e+00,5.12e+00,
-1.30660e-03,-2.00e-01,4.88e+00,
-1.30460e-03,2.00e-01,5.20e+00,
-1.30260e-03,-2.00e-01,4.96e+00,
-1.30060e-03,4.60e+00,7.99e-02,
-1.29860e-03,0.00e+00,0.00e+00,
-1.29660e-03,-2.00e-01,5.12e+00,
-1.29460e-03,-2.00e-01,4.88e+00,
-1.29260e-03,0.00e+00,5.12e+00,
-1.29060e-03,-2.00e-01,5.04e+00,
-1.28860e-03,0.00e+00,1.60e-01,
-1.28660e-03,-2.00e-01,2.40e-01,
-1.28460e-03,0.00e+00,4.80e-01,
-1.28260e-03,-2.00e-01,2.40e-01,
-1.28060e-03,2.00e-01,5.12e+00,
-1.27860e-03,-2.00e-01,4.88e+00,
-1.27660e-03,0.00e+00,5.04e+00,
-1.27460e-03,0.00e+00,4.96e+00,
-1.27260e-03,-2.00e-01,1.60e-01,
-1.27060e-03,-2.00e-01,7.99e-02,
-1.26860e-03,8.00e-01,5.84e+00,
-1.26660e-03,-2.00e-01,4.88e+00,
-1.26460e-03,2.00e-01,5.12e+00,
-1.26260e-03,4.60e+00,5.04e+00,
-1.26060e-03,-2.00e-01,-7.99e-02,
-1.25860e-03,0.00e+00,2.40e-01,
-1.25660e-03,-2.00e-01,7.99e-02,
-1.25460e-03,0.00e+00,2.40e-01,
-1.25260e-03,-4.00e-01,5.04e+00,
-1.25060e-03,-2.00e-01,4.88e+00,
-1.24860e-03,4.60e+00,5.12e+00,
-1.24660e-03,-2.00e-01,4.88e+00,
-1.24460e-03,2.00e-01,1.60e-01,
-1.24260e-03,-2.00e-01,-3.20e-01,
-1.24060e-03,2.00e-01,5.12e+00,
-1.23860e-03,-2.00e-01,4.88e+00,
-1.23660e-03,2.00e-01,5.12e+00,
-1.23460e-03,2.00e-01,4.96e+00,
-1.23260e-03,-2.00e-01,1.60e-01,
-1.23060e-03,0.00e+00,2.40e-01,
-1.22860e-03,-2.00e-01,0.00e+00,
-1.22660e-03,-2.00e-01,7.99e-02,
-1.22460e-03,0.00e+00,5.12e+00,
-1.22260e-03,-2.00e-01,4.88e+00,
-1.22060e-03,2.00e-01,5.12e+00,
-1.21860e-03,0.00e+00,4.96e+00,
-1.21660e-03,-6.00e-01,-4.00e-01,
-1.21460e-03,-2.00e-01,1.60e-01,
-1.21260e-03,2.00e-01,5.12e+00,
-1.21060e-03,-2.00e-01,4.88e+00,
-1.20860e-03,2.00e-01,5.20e+00,
-1.20660e-03,-2.00e-01,4.96e+00,
-1.20460e-03,2.00e-01,1.60e-01,
-1.20260e-03,-2.00e-01,1.60e-01,
-1.20060e-03,4.60e+00,8.80e-01,
-1.19860e-03,4.60e+00,2.40e-01,
-1.19660e-03,-2.00e-01,5.20e+00,
-1.19460e-03,-2.00e-01,4.64e+00,
-1.19260e-03,0.00e+00,5.12e+00,
-1.19060e-03,-2.00e-01,4.88e+00,
-1.18860e-03,2.00e-01,7.99e-02,
