X,CH1,CH2,
Second,Volt,Volt,
-1.98040e-03,4.00e-01,4.96e+00,
-1.97940e-03,2.00e-01,4.96e+00,
-1.97840e-03,0.00e+00,4.88e+00,
-1.97740e-03,4.00e-01,5.04e+00,
-1.97640e-03,5.00e+00,5.12e+00,
-1.97540e-03,4.80e+00,4.96e+00,
-1.97440e-03,4.80e+00,4.96e+00,
-1.97340e-03,5.20e+00,0.00e+00,
-1.97240e-03,5.00e+00,1.60e-01,
-1.97140e-03,4.80e+00,3.20e-01,
-1.97040e-03,5.00e+00,3.20e-01,
-1.96940e-03,4.80e+00,2.40e-01,
-1.96840e-03,5.00e+00,2.40e-01,
-1.96740e-03,2.00e-01,3.20e-01,
-1.96640e-03,0.00e+00,2.40e-01,
-1.96540e-03,2.00e-01,5.12e+00,
-1.96440e-03,2.00e-01,4.88e+00,
-1.96340e-03,2.00e-01,4.96e+00,
-1.96240e-03,4.00e-01,5.12e+00,
-1.96140e-03,5.20e+00,4.96e+00,
-1.96040e-03,5.00e+00,4.96e+00,
-1.95940e-03,4.80e+00,2.40e-01,
-1.95840e-03,5.00e+00,1.60e-01,
-1.95740e-03,4.80e+00,2.40e-01,
-1.95640e-03,4.80e+00,2.40e-01,
-1.95540e-03,5.00e+00,3.20e-01,
-1.95440e-03,4.80e+00,2.40e-01,
-1.95340e-03,5.00e+00,2.40e-01,
-1.95240e-03,4.00e-01,2.40e-01,
-1.95140e-03,2.00e-01,5.20e+00,
-1.95040e-03,2.00e-01,4.96e+00,
-1.94940e-03,4.00e-01,4.88e+00,
-1.94840e-03,2.00e-01,4.88e+00,
-1.94740e-03,5.00e+00,5.12e+00,
-1.94640e-03,5.00e+00,4.96e+00,
-1.94540e-03,4.80e+00,4.96e+00,
-1.94440e-03,4.80e+00,2.40e-01,
-1.94340e-03,5.00e+00,7.99e-02,
-1.94240e-03,5.00e+00,1.60e-01,
-1.94140e-03,4.80e+00,2.40e-01,
-1.94040e-03,5.00e+00,2.40e-01,
-1.93940e-03,5.00e+00,3.20e-01,
-1.93840e-03,4.80e+00,2.40e-01,
-1.93740e-03,0.00e+00,5.12e+00,
-1.93640e-03,2.00e-01,4.96e+00,
-1.93540e-03,2.00e-01,4.96e+00,
-1.93440e-03,2.00e-01,4.96e+00,
-1.93340e-03,5.20e+00,5.28e+00,
-1.93240e-03,5.00e+00,4.96e+00,
-1.93140e-03,4.80e+00,4.96e+00,
-1.93040e-03,5.00e+00,4.96e+00,
-1.92940e-03,4.80e+00,7.99e-02,
-1.92840e-03,5.00e+00,2.40e-01,
-1.92740e-03,4.80e+00,3.20e-01,
-1.92640e-03,5.20e+00,7.20e-01,
-1.92540e-03,4.80e+00,2.40e-01,
-1.92440e-03,5.20e+00,2.40e-01,
-1.92340e-03,2.00e-01,5.44e+00,
-1.92240e-03,2.00e-01,5.04e+00,
-1.92140e-03,2.00e-01,4.80e+00,
-1.92040e-03,0.00e+00,4.96e+00,
-1.91940e-03,5.00e+00,4.96e+00,
-1.91840e-03,5.00e+00,4.96e+00,
-1.91740e-03,4.80e+00,5.04e+00,
-1.91640e-03,4.80e+00,4.96e+00,
-1.91540e-03,5.20e+00,-7.99e-02,
-1.91440e-03,4.80e+00,2.40e-01,
-1.91340e-03,5.00e+00,2.40e-01,
-1.91240e-03,5.00e+00,2.40e-01,
-1.91140e-03,4.80e+00,5.60e-01,
-1.91040e-03,5.00e+00,2.40e-01,
-1.90940e-03,0.00e+00,2.40e-01,
-1.90840e-03,0.00e+00,5.44e+00,
-1.90740e-03,4.00e-01,4.96e+00,
-1.90640e-03,2.00e-01,4.96e+00,
-1.90540e-03,4.00e-01,5.12e+00,
-1.90440e-03,5.00e+00,5.12e+00,
-1.90340e-03,5.20e+00,4.96e+00,
-1.90240e-03,5.00e+00,4.96e+00,
-1.90140e-03,4.80e+00,2.40e-01,
-1.90040e-03,5.00e+00,1.60e-01,
-1.89940e-03,4.80e+00,2.40e-01,
-1.89840e-03,5.00e+00,4.80e-01,
-1.89740e-03,4.80e+00,1.60e-01,
-1.89640e-03,5.00e+00,2.40e-01,
-1.89540e-03,2.00e-01,3.20e-01,
-1.89440e-03,2.00e-01,2.40e-01,
-1.89340e-03,0.00e+00,5.28e+00,
-1.89240e-03,4.00e-01,4.88e+00,
-1.89140e-03,2.00e-01,4.96e+00,
-1.89040e-03,2.00e-01,5.20e+00,
-1.88940e-03,5.20e+00,4.96e+00,
-1.88840e-03,5.00e+00,4.96e+00,
-1.88740e-03,5.00e+00,2.40e-01,
-1.88640e-03,5.00e+00,2.40e-01,
-1.88540e-03,4.80e+00,1.60e-01,
-1.88440e-03,4.80e+00,2.40e-01,
-1.88340e-03,5.00e+00,3.20e-01,
-1.88240e-03,4.80e+00,2.40e-01,
-1.88140e-03,5.00e+00,3.20e-01,
-1.88040e-03,4.80e+00,3.20e-01,
-1.87940e-03,0.00e+00,5.20e+00,
-1.87840e-03,0.00e+00,4.96e+00,
-1.87740e-03,2.00e-01,4.88e+00,
-1.87640e-03,2.00e-01,4.96e+00,
-1.87540e-03,5.20e+00,5.12e+00,
-1.87440e-03,5.00e+00,4.96e+00,
-1.87340e-03,4.80e+00,4.88e+00,
-1.87240e-03,5.00e+00,2.40e-01,
-1.87140e-03,4.80e+00,1.60e-01,
-1.87040e-03,5.00e+00,2.40e-01,
-1.86940e-03,4.80e+00,2.40e-01,
-1.86840e-03,4.80e+00,2.40e-01,
-1.86740e-03,5.00e+00,4.80e-01,
-1.86640e-03,5.00e+00,2.40e-01,
-1.86540e-03,2.00e-01,5.20e+00,
-1.86440e-03,0.00e+00,4.96e+00,
-1.86340e-03,4.00e-01,4.96e+00,
-1.86240e-03,2.00e-01,4.88e+00,
-1.86140e-03,5.00e+00,5.12e+00,
-1.86040e-03,5.00e+00,4.96e+00,
-1.85940e-03,4.80e+00,4.88e+00,
-1.85840e-03,5.00e+00,4.88e+00,
-1.85740e-03,4.80e+00,1.60e-01,
-1.85640e-03,5.00e+00,2.40e-01,
-1.85540e-03,4.80e+00,2.40e-01,
-1.85440e-03,5.00e+00,2.40e-01,
-1.85340e-03,4.80e+00,2.40e-01,
-1.85240e-03,5.00e+00,2.40e-01,
-1.85140e-03,0.00e+00,5.12e+00,
-1.85040e-03,2.00e-01,5.04e+00,
-1.84940e-03,4.00e-01,4.88e+00,
-1.84840e-03,0.00e+00,4.88e+00,
-1.84740e-03,4.00e-01,5.12e+00,
-1.84640e-03,5.20e+00,4.96e+00,
-1.84540e-03,5.00e+00,4.96e+00,
-1.84440e-03,4.80e+00,4.96e+00,
-1.84340e-03,5.00e+00,1.60e-01,
-1.84240e-03,5.00e+00,2.40e-01,
-1.84140e-03,4.80e+00,2.40e-01,
-1.84040e-03,5.00e+00,2.40e-01,
-1.83940e-03,4.80e+00,2.40e-01,
-1.83840e-03,5.00e+00,2.40e-01,
-1.83740e-03,2.00e-01,2.40e-01,
-1.83640e-03,2.00e-01,5.12e+00,
-1.83540e-03,2.00e-01,4.96e+00,
-1.83440e-03,2.00e-01,4.88e+00,
-1.83340e-03,4.00e-01,5.12e+00,
-1.83240e-03,2.00e-01,5.04e+00,
-1.83140e-03,5.20e+00,4.96e+00,
-1.83040e-03,5.20e+00,4.96e+00,
-1.82940e-03,4.80e+00,1.60e-01,
-1.82840e-03,5.00e+00,1.60e-01,
-1.82740e-03,4.80e+00,2.40e-01,
-1.82640e-03,5.00e+00,0.00e+00,
-1.82540e-03,4.80e+00,2.40e-01,
-1.82440e-03,5.00e+00,2.40e-01,
-1.82340e-03,4.80e+00,2.40e-01,
-1.82240e-03,2.00e-01,2.40e-01,
-1.82140e-03,2.00e-01,5.12e+00,
-1.82040e-03,4.00e-01,4.96e+00,
-1.81940e-03,2.00e-01,4.88e+00,
-1.81840e-03,2.00e-01,5.20e+00,
-1.81740e-03,5.00e+00,4.96e+00,
-1.81640e-03,5.00e+00,4.96e+00,
-1.81540e-03,4.80e+00,2.40e-01,
-1.81440e-03,4.80e+00,1.60e-01,
-1.81340e-03,5.00e+00,2.40e-01,
-1.81240e-03,5.20e+00,2.40e-01,
-1.81140e-03,4.80e+00,2.40e-01,
-1.81040e-03,5.00e+00,2.40e-01,
-1.80940e-03,4.80e+00,2.40e-01,
-1.80840e-03,5.00e+00,2.40e-01,
-1.80740e-03,2.00e-01,5.12e+00,
-1.80640e-03,0.00e+00,4.80e+00,
-1.80540e-03,4.00e-01,5.04e+00,
-1.80440e-03,2.00e-01,4.96e+00,
-1.80340e-03,5.00e+00,5.12e+00,
-1.80240e-03,5.00e+00,4.96e+00,
-1.80140e-03,5.20e+00,4.88e+00,
-1.80040e-03,5.00e+00,1.60e-01,
-1.79940e-03,4.80e+00,2.40e-01,
-1.79840e-03,5.00e+00,2.40e-01,
-1.79740e-03,4.80e+00,2.40e-01,
-1.79640e-03,5.00e+00,2.40e-01,
-1.79540e-03,4.80e+00,2.40e-01,
-1.79440e-03,5.00e+00,2.40e-01,
-1.79340e-03,2.00e-01,5.12e+00,
